0x02005008
0xffffffff
0x0     0x000D77F4
0x1     0x000D7110
0x3     0x000D48AC
0x6     0x00612FFC
0x7     0x006132C0
0x8     0x001430F0
0x9     0x001431C4
0xa     0x0061404C
0xe     0x005F6DBC
0xf     0x005B278C
0x20    0x000AA0A4
0x21    0x00091BB4
0x22    0x01034674
0x24    0x000814F4
0x2f    0x01142894
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x011436B0
FlashSemUseOffset    0x00000028
ArpTableAddrPtr      0x01273E70
ConfigAddr           0x01142C40
PingPtr              0x01039B7C
SafeSpace            0x01000000
ImgCkSum             0x373611B5
CodeCkSum            0xF62E7555
SystemCkSum          0x1001EB68
TimeTablePtr         0x01143358
LogTablePtr          0x01142C9C
LogOptsPtr           0x012819F0
CritTablePtr         0x01142CAC
Printf               0x0061404C
Socket               0x000DCD34
Bind                 0x000DD5DC
Connect              0x000DFA10
Send                 0x000DFFBC
Recv                 0x000E02C0
Close                0x000E065C
Malloc               0x001430F0
Free                 0x001431C4
Resched              0x00091264
:EOS:
