0x02005203
0xffffffff
0x0     0x002FBF90
0x1     0x002FC578
0x3     0x002FEC5C
0x6     0x00271DCC
0x7     0x0026E918
0x8     0x00378F50
0x9     0x00273928
0xa     0x002CF6B8
0xe     0x0098E998
0xf     0x00290518
0x20    0x00268568
0x21    0x0026BA58
0x22    0x01034684
0x24    0x000811DC
0x2f    0x0113F024
0x30    0x00000018
0x31    0x00000034
0x32    0x0000006c
0x33    0x00000000
0x34    0x00000048
0x35    0x01022084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x0113EE80
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x012DCBE0
ConfigAddr           0x0113F428
PingPtr              0x0103CAE4
SafeSpace            0x010A0000
ImgCkSum             0x7DB55697
CodeCkSum            0x10A52747
SystemCkSum          0xAFFE3B96
TimeTablePtr         0x0113FC70
LogTablePtr          0x0113F47C
LogOptsPtr           0x0132E660
CritTablePtr         0x0113F48C
Printf               0x002CF6B8
Socket               0x002F5F60
Bind                 0x002F5C00
Connect              0x002F453C
Send                 0x002F4170
Recv                 0x002F3AEC
Close                0x002F3840
Malloc               0x00378F50
Free                 0x00273928
Resched              0x0026CD80
:EOS:
