0x02005302
0xffffffff
0x0     0x00112BBC
0x1     0x001120D4
0x3     0x0010F040
0x6     0x008BA15C
0x7     0x008BA528
0x8     0x001C8794
0x9     0x001C9048
0xa     0x008BBB6C
0xe     0x00892270
0xf     0x0084ACA0
0x20    0x000B6378
0x21    0x00091594
0x22    0x013366E0
0x24    0x00081480
0x2f    0x014528E0
0x30    0x00000018
0x31    0x00000034
0x32    0x0000006c
0x33    0x00000000
0x34    0x00000048
0x35    0x01322084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01453A78
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x016223B0
ConfigAddr           0x01452E40
PingPtr              0x0133D338
SafeSpace            0x01000000
ImgCkSum             0xC8BB4CF2
CodeCkSum            0x1F1D1D8D
SystemCkSum          0xC5EC3CA8
TimeTablePtr         0x014536D8
LogTablePtr          0x01452E98
LogOptsPtr           0x01674B00
CritTablePtr         0x01452EA8
Printf               0x008BBB6C
Socket               0x001197F0
Bind                 0x0011A3F8
Connect              0x0011D3E8
Send                 0x0011DB80
Recv                 0x0011E090
Close                0x0011E508
Malloc               0x001C8794
Free                 0x001C9048
Resched              0x00090B44
:EOS:
