0x02005305
0xffffffff
0x0     0x00115338
0x1     0x0012D050
0x3     0x00111784
0x6     0x008CBE8C
0x7     0x008CC264
0x8     0x001CCF9C
0x9     0x001CD850
0xa     0x008CD8B8
0xe     0x008A3FA0
0xf     0x0085C288
0x20    0x000B6FDC
0x21    0x00091770
0x22    0x013366E4
0x24    0x00081480
0x2f    0x014534E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01322084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01454678
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01623310
ConfigAddr           0x01453A30
PingPtr              0x0133D494
SafeSpace            0x01000000
ImgCkSum             0x0E6EF075
CodeCkSum            0x9B2DA050
SystemCkSum          0x3128F586
TimeTablePtr         0x014542D8
LogTablePtr          0x01453A88
LogOptsPtr           0x01675A70
CritTablePtr         0x01453A98
Printf               0x008CD8B8
Socket               0x0011C054
Bind                 0x0011CC5C
Connect              0x0011FC68
Send                 0x00120400
Recv                 0x00120910
Close                0x00120D88
Malloc               0x001CCF9C
Free                 0x001CD850
Resched              0x00090D20
:EOS:
