0x02005413
0xffffffff
0x0     0x001320CC
0x1     0x0013142C
0x3     0x0012C5BC
0x6     0x00ADF98C
0x7     0x00ADFC54
0x8     0x00219648
0x9     0x00219EB0
0xa     0x00AE1108
0xf     0x00A2F474
0x20    0x000C5BEC
0x21    0x00091AC4
0x22    0x0183771C
0x24    0x00081480
0x2f    0x0197FB2C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA1550
ConfigAddr           0x019800B8
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x47ACDC75
CodeCkSum            0x020ABE77
SystemCkSum          0x3A5B23E6
TimeTablePtr         0x019809F0
LogTablePtr          0x0198011C
LogOptsPtr           0x01BF70D0
CritTablePtr         0x0198012C
Printf               0x00AE1108
Socket               0x00139410
Bind                 0x0013A018
Connect              0x0013D060
Send                 0x0013D7F8
Recv                 0x0013DD44
Close                0x0013E1BC
Malloc               0x00219648
Free                 0x00219EB0
Resched              0x00091040
:EOS:
