0x02005416
0xffffffff
0x0     0x0013338C
0x1     0x001326EC
0x3     0x0012D87C
0x6     0x00AE4E6C
0x7     0x00AE5134
0x8     0x0021BD24
0x9     0x0021C58C
0xa     0x00AE65F4
0xf     0x00A34844
0x20    0x000C64BC
0x21    0x00091D30
0x22    0x0183771C
0x24    0x00081480
0x2f    0x0197FCCC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA2740
ConfigAddr           0x01980258
PingPtr              0x0183F318
SafeSpace            0x01000000
ImgCkSum             0x156E967E
CodeCkSum            0x85FC7BAE
SystemCkSum          0x4AC829D3
TimeTablePtr         0x01980B98
LogTablePtr          0x019802BC
LogOptsPtr           0x01BF82C0
CritTablePtr         0x019802CC
Printf               0x00AE65F4
Socket               0x0013A6D0
Bind                 0x0013B2D8
Connect              0x0013E320
Send                 0x0013EAB8
Recv                 0x0013F004
Close                0x0013F47C
Malloc               0x0021BD24
Free                 0x0021C58C
Resched              0x00091280
:EOS:
