0x02005419
0xffffffff
0x0     0x00133E54
0x1     0x001331B4
0x3     0x0012E304
0x6     0x00AE8758
0x7     0x00AE8A20
0x8     0x0021D0F8
0x9     0x0021D960
0xa     0x00AE9EE0
0xf     0x00A38364
0x20    0x000C682C
0x21    0x00091D30
0x22    0x01837720
0x24    0x00081480
0x2f    0x0197FE54
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA29D0
ConfigAddr           0x019803D8
PingPtr              0x0183F338
SafeSpace            0x01000000
ImgCkSum             0xC5E2BB29
CodeCkSum            0x6450876E
SystemCkSum          0x17BBDE2D
TimeTablePtr         0x01980D18
LogTablePtr          0x0198043C
LogOptsPtr           0x01BF8550
CritTablePtr         0x0198044C
Printf               0x00AE9EE0
Socket               0x0013B1B4
Bind                 0x0013BDBC
Connect              0x0013EDFC
Send                 0x0013F59C
Recv                 0x0013FAE8
Close                0x0013FF60
Malloc               0x0021D0F8
Free                 0x0021D960
Resched              0x00091280
:EOS:
