0x0200540d
0xffffffff
0x0     0x0012EE54
0x1     0x0012E1C4
0x3     0x001293B8
0x6     0x00AAE3EC
0x7     0x00AAE6B4
0x8     0x002154B0
0x9     0x00215D18
0xa     0x00AAFB70
0xe     0x00A510B0
0xf     0x009FEB0C
0x20    0x000C505C
0x21    0x00091ABC
0x22    0x01837718
0x24    0x00081480
0x2f    0x0197ED9C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA0480
ConfigAddr           0x0197F320
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x85B4C607
CodeCkSum            0x1DC34CE3
SystemCkSum          0x3334BC20
TimeTablePtr         0x0197FC58
LogTablePtr          0x0197F384
LogOptsPtr           0x01BF5E10
CritTablePtr         0x0197F394
Printf               0x00AAFB70
Socket               0x00136084
Bind                 0x00136C8C
Connect              0x00139CCC
Send                 0x0013A464
Recv                 0x0013A974
Close                0x0013ADEC
Malloc               0x002154B0
Free                 0x00215D18
Resched              0x00091034
:EOS:
