0x02005409  ;0x251007EA
0xffffffff
0x0     0x00130394
0x1     0x0012F6F4
0x3     0x0012A894
0x6     0x00AD17B4
0x7     0x00AD1A7C
0x8     0x002171D0
0x9     0x00217A38
0xa     0x00AD2F38
0xf     0x00A21AF0
0x20    0x000C56AC
0x21    0x00091AAC
0x22    0x01837718
0x24    0x00081480
0x2f    0x0197F414
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA0DD0
ConfigAddr           0x0197F9A0
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x1DA1D7EA
CodeCkSum            0xE8E340DA
SystemCkSum          0x3E86622A
TimeTablePtr         0x019802D8
LogTablePtr          0x0197FA04
LogOptsPtr           0x01BF6950
CritTablePtr         0x0197FA14
Printf               0x00AD2F38
Socket               0x00137660
Bind                 0x00138268
Connect              0x0013B2B0
Send                 0x0013BA48
Recv                 0x0013BF94
Close                0x0013C40C
Malloc               0x002171D0
Free                 0x00217A38
Resched              0x00091028
:EOS:
