0x05005304
0xffffffff
0x0     0x002E9E24
0x1     0x002E933C
0x3     0x002E6270
0x6     0x008DCC18
0x7     0x008DCFF0
0x8     0x00099FF0
0x9     0x0009A8A4
0xa     0x008DE644
0xe     0x008B4D2C
0xf     0x0086C58C
0x20    0x000C2F78
0x21    0x00092018
0x22    0x014366E4
0x24    0x00081C7C
0x2f    0x01555030
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01422084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x015562F0
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x017739F0
ConfigAddr           0x01555638
PingPtr              0x014578AC
SafeSpace            0x01400000
ImgCkSum             0xB96AFB2B
CodeCkSum            0xA037CDF7
SystemCkSum          0x143A620C
TimeTablePtr         0x01555F20
CritTablePtr         0x015556E0
LogTablePtr          0x015556D0
LogOptsPtr           0x017783F0
Printf               0x008DE644
Socket               0x002F0B40
Bind                 0x002F1748
Connect              0x002F4754
Send                 0x002F4EEC
Recv                 0x002F53FC
Close                0x002F5874
Malloc               0x00099FF0
Free                 0x0009A8A4
Resched              0x000915C8
:EOS:
