0x05005305
0xffffffff
0x0     0x002E9EC8
0x1     0x002E93E0
0x3     0x002E6314
0x6     0x008DD1D0
0x7     0x008DD5A8
0x8     0x00099FF8
0x9     0x0009A8AC
0xa     0x008DEBFC
0xe     0x008B52E4
0xf     0x0086CB44
0x20    0x000C2F94
0x21    0x00092020
0x22    0x014366E4
0x24    0x00081C7C
0x2f    0x01555030
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01422084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x015562F0
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x017739F0
ConfigAddr           0x01555638
PingPtr              0x014578AC
SafeSpace            0x01400000
ImgCkSum             0x647E2CD0
CodeCkSum            0xD8753F5F
SystemCkSum          0x605D6696
TimeTablePtr         0x01555F20
CritTablePtr         0x015556E0
LogTablePtr          0x015556D0
LogOptsPtr           0x017783F0
Printf               0x008DEBFC
Socket               0x002F0BE4
Bind                 0x002F17EC
Connect              0x002F47F8
Send                 0x002F4F90
Recv                 0x002F54A0
Close                0x002F5918
Malloc               0x00099FF8
Free                 0x0009A8AC
Resched              0x000915D0
:EOS:
