0x05005401
0xffffffff
0x0     0x0036A0EC
0x1     0x003694A0
0x3     0x003646CC
0x6     0x00AA9C70
0x7     0x00AA9F38
0x8     0x00099F4C
0x9     0x0009A7B4
0xa     0x00AAB3EC
0xe     0x00A4D670
0xf     0x009FAD28
0x20    0x000D0C90
0x21    0x00092314
0x22    0x01837718
0x24    0x00081C7C
0x2f    0x0197F2E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x019806B8
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01BEFD40
ConfigAddr           0x0197F930
PingPtr              0x0185F3E4
SafeSpace            0x01800000
ImgCkSum             0x3DFED42C
CodeCkSum            0x99B9C8E3
SystemCkSum          0xC866C215
TimeTablePtr         0x01980290
CritTablePtr         0x0197F9E4
LogTablePtr          0x0197F9D4
LogOptsPtr           0x01BF7190
Printf               0x00AAB3EC
Socket               0x00371298
Bind                 0x00371EA0
Connect              0x00374EE0
Send                 0x00375678
Recv                 0x00375B88
Close                0x00376000
Malloc               0x00099F4C
Free                 0x0009A7B4
Resched              0x00089F74 
:EOS:
