0x05005403
0xffffffff
0x0     0x00374ED8
0x1     0x00374248
0x3     0x0036F43C
0x6     0x00ABF800
0x7     0x00ABFAC8
0x8     0x00099E28
0x9     0x0009A690
0xa     0x00AC0F84
0xe     0x00A624C4
0xf     0x00A0F4A4
0x20    0x000D108C
0x21    0x0009234C
0x22    0x01837718
0x24    0x00081C7C
0x2f    0x01980944
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x01981D28
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01BF1720
ConfigAddr           0x01980F88
PingPtr              0x0185FA28
SafeSpace            0x01800000
ImgCkSum             0x11315D37
CodeCkSum            0x84538BE7
SystemCkSum          0xFB9A18A2
TimeTablePtr         0x01981900
CritTablePtr         0x01981040
LogTablePtr          0x01981030
LogOptsPtr           0x01BF8B70
Printf               0x00AC0F84
Socket               0x0037C108
Bind                 0x0037CD10
Connect              0x0037FD50
Send                 0x003804E8
Recv                 0x003809F8
Close                0x00380E70
Malloc               0x00099E28
Free                 0x0009A690
Resched              0x000918C4
:EOS:
