0x250E0F11                  
0xffffffff                  
0x0     0x00655194          
0x1     0x00655B00          
0x3     0x0065A63C          
0x6     0x0031C6F0          
0x7     0x00E19850          
0x8     0x0033F724          
0x9     0x0033EC30          
0xa     0x00E18078          
0xf     0x00D58468          
0x15    0x00338560          
0x17    0x003380A4          
0x19    0x0032EA88          
0x20    0x0031A628          
0x21    0x00325060          
0x22    0x0193771C          
0x23    0x00061c00          
0x24    0x00062590          
0x25    0x48061c03          
0x28    0x01A54250          
0x29    0x00BAA2A4          
0x2f    0x01cd979c          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01922084          
0x3b    0x003AF5F4          
0x3c    0x003AF2D4          
0x3d    0x003AF79C          
0x3e    0x003AEFEC          
0x3f    0x00BAD78C          
:EOS:
ArpTableAddrPtr      0x01CEADFC             
ConfigAddr           0x01CEFB90             
PingPtr              0x019603B4             
SafeSpace            0x018e7000             
ImgCkSum             0xC6286F11             
CodeCkSum            0xC9784B5C             
SystemCkSum          0x7EFCE93B             
TimeTablePtr         0x01D1C590             
LogTablePtr          0x01CF2110             
LogOptsPtr           0x01CF2524             
CritTablePtr         0x01CF2520             
MixedConfig          0x009AA500             
FlashChipAddr        0xF8000000             
FlashSemAddr         0x01D97620             
FlashSemUseOffset    0x00000018             
Printf               0x00E18078             
Socket               0x0064CBD0             
Bind                 0x0064C5E0             
Connect              0x00649234             
Send                 0x00648DB4             
Recv                 0x00648688             
Close                0x006483B8             
Malloc               0x0033F724             
Free                 0x0033EC30             
Resched              0x00323788             

:EOS

