0x250E01D4                  
0xffffffff                  
0x0     0x006557B4          
0x1     0x00656120          
0x3     0x0065AC5C          
0x6     0x0031C714          
0x7     0x00E1AF20          
0x8     0x0033F790          
0x9     0x0033EC9C          
0xa     0x00E19748          
0xf     0x00D59B28          
0x15    0x003385CC          
0x17    0x00338110          
0x19    0x0032EAF4          
0x20    0x0031A628          
0x21    0x003250CC          
0x22    0x01937720          
0x23    0x00061c00          
0x24    0x00062590          
0x25    0x48061c03          
0x28    0x01A542D4          
0x29    0x00BAB844          
0x2f    0x01cd98fc          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01922084          
0x3b    0x003AF778          
0x3c    0x003AF458          
0x3d    0x003AF920          
0x3e    0x003AF170          
0x3f    0x00BAED2C          
:EOS:
ArpTableAddrPtr      0x01CEAF5C             
ConfigAddr           0x01CEFCF0             
PingPtr              0x019603D4             
SafeSpace            0x018e7000             
ImgCkSum             0xDB7D81D4             
CodeCkSum            0xB3CA6D82             
SystemCkSum          0xA4480753             
TimeTablePtr         0x01D1C6E0             
LogTablePtr          0x01CF2268             
LogOptsPtr           0x01CF267C             
CritTablePtr         0x01CF2678             
MixedConfig          0x009ABA04             
FlashChipAddr        0xF8000000             
FlashSemAddr         0x01D97770             
FlashSemUseOffset    0x00000018             
Printf               0x00E19748             
Socket               0x0064D1F0             
Bind                 0x0064CC00             
Connect              0x00649854             
Send                 0x006493D4             
Recv                 0x00648CA8             
Close                0x006489D8             
Malloc               0x0033F790             
Free                 0x0033EC9C             
Resched              0x003237F4             

:EOS

