0x250E0C7A                  
0xffffffff                  
0x0     0x00655D1C          
0x1     0x00656688          
0x3     0x0065B1FC          
0x6     0x0031C740          
0x7     0x00E1BC48          
0x8     0x0033F7BC          
0x9     0x0033ECC8          
0xa     0x00E1A470          
0xf     0x00D5A960          
0x15    0x003385F8          
0x17    0x0033813C          
0x19    0x0032EB20          
0x20    0x0031A628          
0x21    0x003250F8          
0x22    0x01937720          
0x23    0x00061c00          
0x24    0x00062590          
0x25    0x48061c03          
0x28    0x01A543BC          
0x29    0x00BAC67C          
0x2f    0x01cd99dc          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01922084          
0x3b    0x003AFA38          
0x3c    0x003AF718          
0x3d    0x003AFBE0          
0x3e    0x003AF430          
0x3f    0x00BAFB64          
:EOS:
ArpTableAddrPtr      0x01CEB03C             
ConfigAddr           0x01CEFDD0             
PingPtr              0x019603D4             
SafeSpace            0x018e7000             
ImgCkSum             0x88586C7A             
CodeCkSum            0x0CA3781C             
SystemCkSum          0xABDC5074             
TimeTablePtr         0x01D1C7C0             
LogTablePtr          0x01CF2348             
LogOptsPtr           0x01CF275C             
CritTablePtr         0x01CF2758             
MixedConfig          0x009AC7C4             
FlashChipAddr        0xF8000000             
FlashSemAddr         0x01D97850             
FlashSemUseOffset    0x00000018             
Printf               0x00E1A470             
Socket               0x0064D758             
Bind                 0x0064D168             
Connect              0x00649DBC             
Send                 0x0064993C             
Recv                 0x00649210             
Close                0x00648F40             
Malloc               0x0033F7BC             
Free                 0x0033ECC8             
Resched              0x00323820             

:EOS

