;
;
;
0x25120e87            
0xffffffff            
0x0   0x0020559C      
0x1   0x00204F50      
0x3   0x002021D8      
0x6   0x0075174C      
0x7   0x00751980      
0x8   0x00096A70      
0x9   0x00096AC8      
0xa   0x007528C0      
0xf   0x006D7F70      
0x20  0x004D8D8C      
0x21  0x00091BEC      
0x22  0x0104C880      
0x24  0x0009015C      
0x27  0x00F00784      
0x2f  0x0121A500      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000068      
0x33  0x00000000      
0x34  0x00000044      
0x35  0x010387AC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0122A120      
ConfigAddr          0x0122BEE0      
PingPtr             0x00F18710      
SafeSpace           0x00F00000      
TimeTablePtr        0x01253330
CritTablePtr        0x0122ea60
LogTablePtr         0x0122e5e0
LogOptsPtr          0x0122ea70
;
;
;
;
;
:EOS:
;
