;
;
;
0x251206f5            
0xffffffff            
0x0   0x00206378      
0x1   0x00205D2C      
0x3   0x00202FC4      
0x6   0x0075411C      
0x7   0x00754350      
0x8   0x00096B1C      
0x9   0x00096B74      
0xa   0x00755290      
0xf   0x006DA758      
0x20  0x004DB1C4      
0x21  0x00091C98      
0x22  0x0104CA04      
0x24  0x00090208      
0x27  0x00F00784      
0x2f  0x0121B100      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000068      
0x33  0x00000000      
0x34  0x00000044      
0x35  0x0103892C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0122AEA0      
ConfigAddr          0x0122CC60      
PingPtr             0x00F18790      
SafeSpace           0x00F00000      
TimeTablePtr        0x012540b0
CritTablePtr        0x0122f7e0
LogTablePtr         0x0122f360
LogOptsPtr          0x0122f7f0
;
;
;
;
;
:EOS:
;
