0x00055001
0xbb2488		
0x0  0x0020de08		
0x1  0x0020d694		
0x3  0x0020ab00		
0x6  0x0063c910		
0x7  0x0063cba8		
0x8  0x0007a600		
0x9  0x0007a6f8		
0xa  0x0063dc3c		
0xe  0x006215b0		
0xf  0x005d87dc		
0x20  0x000940bc	
0x21  0x00073154	
0x22  0x00bdfa30	
0x23  0x00061c00	
0x24  0x00062f90	
0x25  0x48061c03
0x2f  0x00D4B17C
0x30  0x00000018
0x31  0x00000034
0x32  0x00000068
0x33  0x00000000
0x34  0x00000044
0x35  0x00c01e3c
:EOS:
ConfigAddr             0x00d541ec
ArpTableAddrPtr        0x00d52a3c
FlashChipAddr          0xf8000000
FlashSemAddr           0xdcee30
FlashSemUseOffset      0x18
TimeTablePtr           0x00d7719c
CritTablePtr           0x00d566f8
LogTablePtr            0x00d562e8
LogOptsPtr             0x00d566fc
:EOS:
