0x00055008  		
0xbc6db0		
0x0  0x0021375c		
0x1  0x00212fe8		
0x3  0x002104d8		
0x6  0x0064b5bc		
0x7  0x0064b854		
0x8  0x0007a788		
0x9  0x0007a880		
0xa  0x0064c8f4		
0xe  0x0063025c		
0xf  0x005e6dc8		
0x20  0x00095180	
0x21  0x00073314	
0x22  0x00bf36e0	
0x23  0x00061c00	
0x24  0x00062f90	
0x25  0x4bffec71	
0x2f  0x00D5FCDC
0x30  0x00000018
0x31  0x00000034
0x32  0x00000068
0x33  0x00000000
0x34  0x00000044
0x35  0x00c15adc	
:EOS:
ConfigAddr             0x00d68d60 
ArpTableAddrPtr        0x00d675b0
FlashChipAddr          0xf8000000
FlashSemAddr           0xde3b30
FlashSemUseOffset      0x28
PingPtr             0x00AFCDB8      
SafeSpace           0x00C20000      
TimeTablePtr        0x00d8bdd0 
CritTablePtr        0x00d6b2fc
LogTablePtr         0x00d6aeec
LogOptsPtr          0x00d6b300
Printf              0xdeadbeef      
Socket              0x00219194      
Bind                0x00219BF4      
Connect             0x0021C30C      
Send                0x0021C934      
Recv                0x0021CC98      
Close               0x0021D074      
Malloc              0x0007a788      
Free                0x0007a880      
Resched             0x0007292C      
:EOS:
