0x251105F7
0xffffffff
0x0     0x005BDCC8
0x1     0x005BE488
0x3     0x005C1108
0x6     0x0031C000
0x7     0x00C0A568
0x8     0x003404A0
0x9     0x0033F954
0xa     0x00C08CB8
0xf     0x00B8199C
0x15    0x00339848
0x17    0x00328800
0x19    0x00330564
0x20    0x0031EBC0
0x21    0x00324C34
0x22    0x0146DC24
0x23    0x00061c00
0x24    0x00062590
0x25    0x48061c03
0x28    0x01450564
0x29    0x00A6C67C
0x2f    0x016B28D4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01490084
0x3b    0x0039894C
0x3c    0x0039862C
0x3d    0x00398AF4
0x3e    0x00398344
0x3f    0x00A6FE44
:EOS:
ArpTableAddrPtr      0x016C2748
ConfigAddr           0x016C4B78
PingPtr              0x01371160
SafeSpace            0x00C20000
ImgCkSum             0xC72C15F7
CodeCkSum            0xF8A2FA6F
SystemCkSum          0x579BB35E
TimeTablePtr         0x016F09F0
LogTablePtr          0x016C6DF4
LogOptsPtr           0x016C7208
CritTablePtr         0x016C7204
MixedConfig          0x008BD49C
FlashChipAddr        0xF8000000
FlashSemAddr         0x0174280C
FlashSemUseOffset    0x00000018
Printf               0x00C08CB8
Socket               0x005B5B6C
Bind                 0x005B557C
Connect              0x005B242C
Send                 0x005B1FD8
Recv                 0x005B18AC
Close                0x005B15DC
Malloc               0x003404A0
Free                 0x0033F954
Resched              0x003262A4
:EOS:

