0x2516034A
0xffffffff
0x0     0x00644418
0x1     0x0064355C
0x3     0x0063E720
0x6     0x00344000
0x7     0x00F0BD7C
0x8     0x0039BF64
0x9     0x0039A150
0xa     0x00F0C5F0
0xf     0x00DFE16C
0x15    0x0038040C
0x17    0x0037F250
0x19    0x0038AC60
0x20    0x0035D39C
0x21    0x0037030C
0x22    0x02800850
0x23    0x00061C00
0x24    0x0008362C
0x25    0x48061C03
0x26    0x0280082C
0x28    0x02A161A0
0x29    0x00C2B580
0x2f    0x02E58528
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003A5D10
0x3c    0x003A60B4
0x3d    0x003A55A0
0x3e    0x003A63BC
0x3f    0x00C2E668
:EOS:
ArpTableAddrPtr      0x02E68C8C
ConfigAddr           0x02E6DA24
PingPtr              0x02928AD0
SafeSpace            0x02652000
ImgCkSum             0xE822B34A
CodeCkSum            0x83FDE5BF
SystemCkSum          0x59443A1E
TimeTablePtr         0x02E9C49C
LogTablePtr          0x02E70000
LogOptsPtr           0x02E70414
CritTablePtr         0x02E70410
MixedConfig          0x0098AFD8
SerialStrPtr         0x02E99B80
NewPassiveHookFunc   0x0038F4C4
NewPassiveHookLoc    0x00993E40
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03E64C14
flashSemUseOffset    0x00000018
Printf               0x00F0C5F0
Socket               0x0064B95C
Bind                 0x0064C734
Connect              0x0064E834
Send                 0x0064F074
Recv                 0x0064F68C
Close                0x0064FB9C
Malloc               0x0039BF64
Free                 0x0039A150
Resched              0x00370000
:EOS:

