0x251602e7            
0xffffffff            
0x0   0x0063C7B8      
0x1   0x0063B90C      
0x3   0x00636B34      
0x6   0x00344000      
0x7   0x00EDF014      
0x8   0x0039A03C      
0x9   0x00398228      
0xa   0x00EDF888      
0xf   0x00DD0AC0      
0x15  0x0037E4E4      
0x17  0x0037D324      
0x19  0x00388D38      
0x20  0x0035B364      
0x21  0x0036E30C      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A1592C      
0x29  0x00C004F4      
0x2f  0x02E58148      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A3B60      
0x3c  0x003A3F04      
0x3d  0x003A33F0      
0x3e  0x003A420C      
:EOS:
ArpTableAddrPtr     0x02E6889C      
ConfigAddr          0x02E6D634      
PingPtr             0x02928AF0      
SafeSpace           0x0263E000      
ImgCkSum            0x4e1192e7      
CodeCkSum           0xf38bdda0      
TimeTablePtr        0x02e9bb04
LogOptsPtr          0x02e6fe14
CritTablePtr        0x02e6fe10
LogTablePtr         0x02e6fa00
Printf              0x00EDF888      
Socket              0x00643BF0      
Bind                0x006449C8      
Connect             0x00646AC8      
Send                0x00647308      
Recv                0x006478FC      
Close               0x00647E0C      
Malloc              0x0039A03C      
Free                0x00398228      
Resched             0x0036E000      
:EOS:
