0x2516029c            
0xffffffff            
0x0   0x0063E818      
0x1   0x0063D95C      
0x3   0x00638B84      
0x6   0x00344000      
0x7   0x00EF3480      
0x8   0x00399FDC      
0x9   0x003981C8      
0xa   0x00EF3CF4      
0xf   0x00DE6430      
0x15  0x0037E484      
0x17  0x0037D2E8      
0x19  0x00388CD8      
0x20  0x0035B5B8      
0x21  0x0036E30C      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A38      
0x29  0x00C15A40      
0x2f  0x02E58168      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A3B00      
0x3c  0x003A3EA4      
0x3d  0x003A3390      
0x3e  0x003A41AC      
:EOS:
ArpTableAddrPtr     0x02E688BC      
ConfigAddr          0x02E6D654      
PingPtr             0x02928AD0      
SafeSpace           0x02642000      
ImgCkSum            0xaf44a29c      
CodeCkSum           0xc8450366      
TimeTablePtr        0x02e9beb4
LogOptsPtr          0x02e6fe34
CritTablePtr        0x02e6fe30
LogTablePtr         0x02e6fa20
Printf              0x00EF3CF4      
Socket              0x00645CEC      
Bind                0x00646AC4      
Connect             0x00648BC4      
Send                0x00649404      
Recv                0x006499F8      
Close               0x00649F08      
Malloc              0x00399FDC      
Free                0x003981C8      
Resched             0x0036E000      
:EOS:
