0x251608b5            
0xffffffff            
0x0   0x0063F168      
0x1   0x0063E2AC      
0x3   0x006394D4      
0x6   0x00344000      
0x7   0x00EFD2C8      
0x8   0x00399FDC      
0x9   0x003981C8      
0xa   0x00EFDB3C      
0xf   0x00DF0254      
0x15  0x0037E484      
0x17  0x0037D2E8      
0x19  0x00388CD8      
0x20  0x0035B638      
0x21  0x0036E30C      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A54      
0x29  0x00C1F1E8      
0x2f  0x02E58188      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A3B00      
0x3c  0x003A3EA4      
0x3d  0x003A3390      
0x3e  0x003A41AC      
:EOS:
ArpTableAddrPtr     0x02E688DC      
ConfigAddr          0x02E6D674      
PingPtr             0x02928AD0      
SafeSpace           0x02645000      
ImgCkSum            0xfc39f8b5      
CodeCkSum           0x572d6e95      
TimeTablePtr        0x02e9bed4
LogOptsPtr          0x02e6fe54
CritTablePtr        0x02e6fe50
LogTablePtr         0x02e6fa40
Printf              0x00EFDB3C      
Socket              0x0064663C      
Bind                0x00647414      
Connect             0x00649514      
Send                0x00649D54      
Recv                0x0064A348      
Close               0x0064A858      
Malloc              0x00399FDC      
Free                0x003981C8      
Resched             0x0036E000      
:EOS:
