0x251608bc            
0xffffffff            
0x0   0x0064150C      
0x1   0x00640650      
0x3   0x0063B814      
0x6   0x00344000      
0x7   0x00EEA388      
0x8   0x0039AE74      
0x9   0x00399060      
0xa   0x00EEABFC      
0xf   0x00DDD040      
0x15  0x0037F31C      
0x17  0x0037E160      
0x19  0x00389B70      
0x20  0x0035BA9C      
0x21  0x0036F30C      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315F54      
0x29  0x00C1ED6C      
0x2f  0x027575A8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003A4C20      
0x3c  0x003A4FC4      
0x3d  0x003A44B0      
0x3e  0x003A52CC      
:EOS:
ArpTableAddrPtr     0x02767CFC      
ConfigAddr          0x0276CA94      
PingPtr             0x02228B58      
SafeSpace           0x01FCB000      
ImgCkSum            0x61ae08bc      
CodeCkSum           0x5ef5df68      
TimeTablePtr        0x0279b4cc
LogOptsPtr          0x0276f484
CritTablePtr        0x0276f480
LogTablePtr         0x0276f070
Printf              0x00EEABFC      
Socket              0x00648A44      
Bind                0x0064981C      
Connect             0x0064B91C      
Send                0x0064C15C      
Recv                0x0064C774      
Close               0x0064CC84      
Malloc              0x0039AE74      
Free                0x00399060      
Resched             0x0036F000      
:EOS:
