0x25160B59
0xffffffff
0x0     0x00644018
0x1     0x0064315C
0x3     0x0063E320
0x6     0x00344000
0x7     0x00EF0550
0x8     0x0039BE4C
0x9     0x0039A038
0xa     0x00EF0DC4
0xf     0x00DE2B50
0x15    0x003802F4
0x17    0x0037F138
0x19    0x0038AB48
0x20    0x0035D1E4
0x21    0x0037030C
0x22    0x02100850
0x23    0x00061C00
0x24    0x0008362C
0x25    0x48061C03
0x26    0x0210082C
0x28    0x0231606C
0x29    0x00C23BF0
0x2f    0x027575E8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02038034
0x3b    0x003A5BF8
0x3c    0x003A5F9C
0x3d    0x003A5488
0x3e    0x003A62A4
0x3f    0x00C26CD8
:EOS:
ArpTableAddrPtr      0x02767D4C
ConfigAddr           0x0276CAE4
PingPtr              0x02228B58
SafeSpace            0x01FCE000
ImgCkSum             0x2B220B59
CodeCkSum            0x684E80EA
SystemCkSum          0x79E2FD01
TimeTablePtr         0x0279B51C
LogTablePtr          0x0276F0C0
LogOptsPtr           0x0276F4D4
CritTablePtr         0x0276F4D0
MixedConfig          0x00983AD0
SerialStrPtr         0x02798C00
NewPassiveHookFunc   0x0038F3AC
NewPassiveHookLoc    0x0098C938
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03752734
flashSemUseOffset    0x00000018
Printf               0x00EF0DC4
Socket               0x0064B550
Bind                 0x0064C328
Connect              0x0064E428
Send                 0x0064EC68
Recv                 0x0064F280
Close                0x0064F790
Malloc               0x0039BE4C
Free                 0x0039A038
Resched              0x00370000
:EOS:

