0x25160d91            
0xffffffff            
0x0   0x00639CB4      
0x1   0x00638E08      
0x3   0x00634068      
0x6   0x00344000      
0x7   0x00EBD3EC      
0x8   0x00399D84      
0x9   0x00397F70      
0xa   0x00EBDC60      
0xf   0x00DB0680      
0x15  0x0037E208      
0x17  0x0037D048      
0x19  0x00388A5C      
0x20  0x0035AE88      
0x21  0x0036E2E4      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02314A5C      
0x29  0x00BF43C4      
0x2f  0x02757048      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003A38A8      
0x3c  0x003A3C4C      
0x3d  0x003A3138      
0x3e  0x003A3F54      
:EOS:
ArpTableAddrPtr     0x027677A0      
ConfigAddr          0x0276C538      
PingPtr             0x022285DC      
SafeSpace           0x01FC4000      
ImgCkSum            0x455f8d91      
CodeCkSum           0x009e6836      
TimeTablePtr        0x0279a9a0
LogOptsPtr          0x0276ed14
CritTablePtr        0x0276ed10
LogTablePtr         0x0276e900
Printf              0x00EBDC60      
Socket              0x006410EC      
Bind                0x00641EC4      
Connect             0x00643FC4      
Send                0x00644804      
Recv                0x00644DF8      
Close               0x00645308      
Malloc              0x00399D84      
Free                0x00397F70      
Resched             0x0036E000      
:EOS:
