0x2516000c            
0xffffffff            
0x0   0x0063EFD4      
0x1   0x0063E118      
0x3   0x00639340      
0x6   0x00344000      
0x7   0x00EE2B30      
0x8   0x00399E48      
0x9   0x00398034      
0xa   0x00EE33A4      
0xf   0x00DD5C00      
0x15  0x0037E2F0      
0x17  0x0037D154      
0x19  0x00388B44      
0x20  0x0035B638      
0x21  0x0036E30C      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315894      
0x29  0x00C1821C      
0x2f  0x02757248      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003A396C      
0x3c  0x003A3D10      
0x3d  0x003A31FC      
0x3e  0x003A4018      
:EOS:
ArpTableAddrPtr     0x0276799C      
ConfigAddr          0x0276C734      
PingPtr             0x02228AD0      
SafeSpace           0x01FFF000      
ImgCkSum            0x551b400c      
CodeCkSum           0x37642914      
TimeTablePtr        0x0279af54
LogOptsPtr          0x0276ef14
CritTablePtr        0x0276ef10
LogTablePtr         0x0276eb00
Printf              0x00EE33A4      
Socket              0x006464A8      
Bind                0x00647280      
Connect             0x00649380      
Send                0x00649BC0      
Recv                0x0064A1B4      
Close               0x0064A6C4      
Malloc              0x00399E48      
Free                0x00398034      
Resched             0x0036E000      
:EOS:
