0x251609f7            
0xffffffff            
0x0   0x0063F5E8      
0x1   0x0063E72C      
0x3   0x00639954      
0x6   0x00344000      
0x7   0x00EE3C34      
0x8   0x00399E48      
0x9   0x00398034      
0xa   0x00EE44A8      
0xf   0x00DD6BFC      
0x15  0x0037E2F0      
0x17  0x0037D154      
0x19  0x00388B44      
0x20  0x0035B680      
0x21  0x0036E30C      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x023158D4      
0x29  0x00C18E1C      
0x2f  0x02757408      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003A396C      
0x3c  0x003A3D10      
0x3d  0x003A31FC      
0x3e  0x003A4018      
:EOS:
ArpTableAddrPtr     0x02767B5C      
ConfigAddr          0x0276C8F4      
PingPtr             0x02228AD0      
SafeSpace           0x01FC9000      
ImgCkSum            0xee2b49f7      
CodeCkSum           0x41e72982      
TimeTablePtr        0x0279b118
LogOptsPtr          0x0276f0d4
CritTablePtr        0x0276f0d0
LogTablePtr         0x0276ecc0
Printf              0x00EE44A8      
Socket              0x00646ABC      
Bind                0x00647894      
Connect             0x00649994      
Send                0x0064A1D4      
Recv                0x0064A7C8      
Close               0x0064ACD8      
Malloc              0x00399E48      
Free                0x00398034      
Resched             0x0036E000      
:EOS:
