0x251603e1            
0xffffffff            
0x0   0x006408D4      
0x1   0x0063FA18      
0x3   0x0063ABDC      
0x6   0x00344000      
0x7   0x00EE6EF8      
0x8   0x0039AE54      
0x9   0x00399040      
0xa   0x00EE776C      
0xf   0x00DD9CC4      
0x15  0x0037F2FC      
0x17  0x0037E160      
0x19  0x00389B50      
0x20  0x0035B75C      
0x21  0x0036F30C      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315DE4      
0x29  0x00C1BA20      
0x2f  0x02757568      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003A4978      
0x3c  0x003A4D1C      
0x3d  0x003A4208      
0x3e  0x003A5024      
:EOS:
ArpTableAddrPtr     0x02767CBC      
ConfigAddr          0x0276CA54      
PingPtr             0x02228AD0      
SafeSpace           0x01FCA000      
ImgCkSum            0x35a4b3e1      
CodeCkSum           0x2a2e91d4      
TimeTablePtr        0x0279b488
LogOptsPtr          0x0276f444
CritTablePtr        0x0276f440
LogTablePtr         0x0276f030
Printf              0x00EE776C      
Socket              0x00647DA8      
Bind                0x00648B80      
Connect             0x0064AC80      
Send                0x0064B4C0      
Recv                0x0064BAD8      
Close               0x0064BFE8      
Malloc              0x0039AE54      
Free                0x00399040      
Resched             0x0036F000      
:EOS:
