0x261600c2            
0xffffffff            
0x0   0x0068640C      
0x1   0x00685428      
0x3   0x006804B8      
0x6   0x00344000      
0x7   0x00F8509C      
0x8   0x0039EA34      
0x9   0x0039F6FC      
0xa   0x00F85910      
0xf   0x00E75528      
0x15  0x00382478      
0x17  0x003812DC      
0x19  0x0038CD9C      
0x20  0x0035C408      
0x21  0x00372314      
0x22  0x02800840      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800864      
0x28  0x02A3D080      
0x29  0x00C9529C      
0x2f  0x02E8A75C      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003AD954      
0x3c  0x003ADCF8      
0x3d  0x003AD1E4      
0x3e  0x003AE000      
:EOS:
ArpTableAddrPtr     0x02E9AE9C      
ConfigAddr          0x02EA0018      
PingPtr             0x029255F8      
SafeSpace           0x026AA000      
ImgCkSum            0xdd61e0c2      
CodeCkSum           0xbabeec9d      
TimeTablePtr        0x02eced88
LogOptsPtr          0x02ea27fc
CritTablePtr        0x02ea27f8
LogTablePtr         0x02ea23e8
Printf              0x00F85910      
Socket              0x0068DAE0      
Bind                0x0068E8B8      
Connect             0x006909B8      
Send                0x006911F8      
Recv                0x006917EC      
Close               0x00691CFC      
Malloc              0x0039EA34      
Free                0x0039F6FC      
Resched             0x00372000      
:EOS:
