0x261603e2            
0xffffffff            
0x0   0x00694010      
0x1   0x00693024      
0x3   0x0068E0B4      
0x6   0x00344000      
0x7   0x00F9BEA8      
0x8   0x003A2F8C      
0x9   0x003A3BFC      
0xa   0x00F9C744      
0xf   0x00E8B5B8      
0x15  0x003834B8      
0x17  0x003822FC      
0x19  0x003915A4      
0x20  0x0035D01C      
0x21  0x00373314      
0x22  0x02800850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800874      
0x28  0x02A436D4      
0x29  0x00CA8438      
0x2f  0x02E8AFA4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003B18B0      
0x3c  0x003B1C54      
0x3d  0x003B1140      
0x3e  0x003B1F5C      
:EOS:
ArpTableAddrPtr     0x02E9B708      
ConfigAddr          0x02EA0924      
PingPtr             0x02925AD8      
SafeSpace           0x026B7000      
ImgCkSum            0x826ed3e2      
CodeCkSum           0xa04332d6      
TimeTablePtr        0x02ecf7b4
LogOptsPtr          0x02ea310c
CritTablePtr        0x02ea3108
LogTablePtr         0x02ea2cf8
Printf              0x00F9C744      
Socket              0x0069B778      
Bind                0x0069C550      
Connect             0x0069E650      
Send                0x0069EE90      
Recv                0x0069F484      
Close               0x0069F994      
Malloc              0x003A2F8C      
Free                0x003A3BFC      
Resched             0x00373000      
:EOS:
