0x261603be            
0xffffffff            
0x0   0x0069505C      
0x1   0x00694070      
0x3   0x0068F09C      
0x6   0x00344000      
0x7   0x00FA6BA4      
0x8   0x003A2FA0      
0x9   0x003A3C10      
0xa   0x00FA7440      
0xf   0x00E95FD8      
0x15  0x003834CC      
0x17  0x00382310      
0x19  0x003915B8      
0x20  0x0035D0A0      
0x21  0x00373314      
0x22  0x02800850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800874      
0x28  0x02A441BC      
0x29  0x00CB2470      
0x2f  0x02E8AE84      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003B18C4      
0x3c  0x003B1C68      
0x3d  0x003B1154      
0x3e  0x003B1F70      
:EOS:
ArpTableAddrPtr     0x02E9B5E8      
ConfigAddr          0x02EA0804      
PingPtr             0x02925AD8      
SafeSpace           0x026BF000      
ImgCkSum            0x6e1f23be      
CodeCkSum           0xa74525bd      
TimeTablePtr        0x02ecf6a0
LogOptsPtr          0x02ea2ff4
CritTablePtr        0x02ea2ff0
LogTablePtr         0x02ea2be0
Printf              0x00FA7440      
Socket              0x0069C7C4      
Bind                0x0069D59C      
Connect             0x0069F69C      
Send                0x0069FEDC      
Recv                0x006A04DC      
Close               0x006A09EC      
Malloc              0x003A2FA0      
Free                0x003A3C10      
Resched             0x00373000      
:EOS:
