0x2616020e            
0xffffffff            
0x0   0x00695970      
0x1   0x00694984      
0x3   0x0068F9B0      
0x6   0x00344000      
0x7   0x00FA7BC0      
0x8   0x003A2FA0      
0x9   0x003A3C10      
0xa   0x00FA845C      
0xf   0x00E96FF4      
0x15  0x003834CC      
0x17  0x00382310      
0x19  0x003915B8      
0x20  0x0035D0E8      
0x21  0x00373314      
0x22  0x02800850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800874      
0x28  0x02A43C14      
0x29  0x00CB33DC      
0x2f  0x02E8AE84      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003B18C4      
0x3c  0x003B1C68      
0x3d  0x003B1154      
0x3e  0x003B1F70      
:EOS:
ArpTableAddrPtr     0x02E9B5DC      
ConfigAddr          0x02EA07F8      
PingPtr             0x02925AE8      
SafeSpace           0x026C1000      
ImgCkSum            0x5290920e      
CodeCkSum           0xef279126      
TimeTablePtr        0x02ed029c
LogOptsPtr          0x02ea2fec
CritTablePtr        0x02ea2fe8
LogTablePtr         0x02ea2bd8
Printf              0x00FA845C      
Socket              0x0069D154      
Bind                0x0069DF2C      
Connect             0x006A002C      
Send                0x006A086C      
Recv                0x006A0E84      
Close               0x006A1394      
Malloc              0x003A2FA0      
Free                0x003A3C10      
Resched             0x00373000      
:EOS:
