0x26160a22            
0xffffffff            
0x0   0x00685278      
0x1   0x00684294      
0x3   0x0067F324      
0x6   0x00344000      
0x7   0x00F67534      
0x8   0x0039D8A0      
0x9   0x0039E568      
0xa   0x00F67DA8      
0xf   0x00E578C8      
0x15  0x003812E4      
0x17  0x00380148      
0x19  0x0038BC08      
0x20  0x0035C408      
0x21  0x00371314      
0x22  0x02200840      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200864      
0x28  0x0243CEC0      
0x29  0x00C8B2F0      
0x2f  0x0288977C      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003AC7C0      
0x3c  0x003ACB64      
0x3d  0x003AC050      
0x3e  0x003ACE6C      
:EOS:
ArpTableAddrPtr     0x02899EBC      
ConfigAddr          0x0289F038      
PingPtr             0x023255F8      
SafeSpace           0x0200F000      
ImgCkSum            0x42b64a22      
CodeCkSum           0xa26e8323      
TimeTablePtr        0x028cdd68
LogOptsPtr          0x028a181c
CritTablePtr        0x028a1818
LogTablePtr         0x028a1408
Printf              0x00F67DA8      
Socket              0x0068C94C      
Bind                0x0068D724      
Connect             0x0068F824      
Send                0x00690064      
Recv                0x00690658      
Close               0x00690B68      
Malloc              0x0039D8A0      
Free                0x0039E568      
Resched             0x00371000      
:EOS:
