0x26160394
0xffffffff
0x0     0x0069E28C
0x1     0x0069D2A0
0x3     0x006982C4
0x6     0x00344000
0x7     0x00F9AB74
0x8     0x003A3E3C
0x9     0x003A4AAC
0xa     0x00F9B410
0xf     0x00E89758
0x15    0x0038431C
0x17    0x00383160
0x19    0x0039241C
0x20    0x0035E784
0x21    0x00374328
0x22    0x02200874
0x23    0x00061C00
0x24    0x00083624
0x25    0x48061C03
0x26    0x02200850
0x28    0x02443DB0
0x29    0x00CB89FC
0x2f    0x0288A1E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02138034
0x3b    0x003B2760
0x3c    0x003B2B04
0x3d    0x003B1FF0
0x3e    0x003B2E0C
0x3f    0x00CBBB94
:EOS:
ArpTableAddrPtr      0x0289A93C
ConfigAddr           0x028A0018
PingPtr              0x02325B48
SafeSpace            0x02022000
ImgCkSum             0xB80F1394
CodeCkSum            0x4CA64E4D
SystemCkSum          0x87C1D703
TimeTablePtr         0x028CFC80
LogTablePtr          0x028A25FC
LogOptsPtr           0x028A2A10
CritTablePtr         0x028A2A0C
MixedConfig          0x009EC864
SerialStrPtr         0x028CD330
NewPassiveHookFunc   0x00397280
NewPassiveHookLoc    0x009F78A4
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x038A23F4
flashSemUseOffset    0x00000018
Printf               0x00F9B410
Socket               0x006A5A78
Bind                 0x006A6850
Connect              0x006A8950
Send                 0x006A9190
Recv                 0x006A97A8
Close                0x006A9CB8
Malloc               0x003A3E3C
Free                 0x003A4AAC
Resched              0x00374000
:EOS:

