0x26160158            
0xffffffff            
0x0   0x006CED54      
0x1   0x006CDCC0      
0x3   0x006C8C0C      
0x6   0x00344000      
0x7   0x0100086C      
0x8   0x003A3CEC      
0x9   0x003A495C      
0xa   0x01001108      
0xf   0x00EE9FBC      
0x15  0x003846D0      
0x17  0x00383508      
0x19  0x00392850      
0x20  0x0035DAB8      
0x21  0x00374328      
0x22  0x03300850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x03300874      
0x28  0x03548300      
0x29  0x00CFA38C      
0x2f  0x039C4EB4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x03248034      
0x3b  0x003B26C0      
0x3c  0x003B2A64      
0x3d  0x003B1F50      
0x3e  0x003B2D6C      
:EOS:
ArpTableAddrPtr     0x039D94CC      
ConfigAddr          0x039DECAC      
PingPtr             0x03426B88      
SafeSpace           0x0312E000      
ImgCkSum            0xcfcfc158      
CodeCkSum           0x696ec95c      
TimeTablePtr        0x03a1a800
LogOptsPtr          0x039e170c
CritTablePtr        0x039e1708
LogTablePtr         0x039e12f8
Printf              0x01001108      
Socket              0x006D6550      
Bind                0x006D7328      
Connect             0x006D9428      
Send                0x006D9C68      
Recv                0x006DA29C      
Close               0x006DA7B4      
Malloc              0x003A3CEC      
Free                0x003A495C      
Resched             0x00374000      
:EOS:
