0x261605c2            
0xffffffff            
0x0   0x006D1D20      
0x1   0x006D0C8C      
0x3   0x006CBBD8      
0x6   0x00344000      
0x7   0x01007450      
0x8   0x003A3CEC      
0x9   0x003A495C      
0xa   0x01007CEC      
0xf   0x00EF0BC4      
0x15  0x003846D0      
0x17  0x00383508      
0x19  0x00392850      
0x20  0x0035DAEC      
0x21  0x00374328      
0x22  0x03300850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x03300874      
0x28  0x03547E1C      
0x29  0x00D00238      
0x2f  0x039C5194      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x03248034      
0x3b  0x003B26C0      
0x3c  0x003B2A64      
0x3d  0x003B1F50      
0x3e  0x003B2D6C      
:EOS:
ArpTableAddrPtr     0x039D97B0      
ConfigAddr          0x039DEF90      
PingPtr             0x03426BE8      
SafeSpace           0x03132000      
ImgCkSum            0x98e475c2      
CodeCkSum           0xe723b685      
TimeTablePtr        0x03a1aae4
LogOptsPtr          0x039e19f0
CritTablePtr        0x039e19ec
LogTablePtr         0x039e15dc
Printf              0x01007CEC      
Socket              0x006D9560      
Bind                0x006DA338      
Connect             0x006DC438      
Send                0x006DCC78      
Recv                0x006DD2AC      
Close               0x006DD7C4      
Malloc              0x003A3CEC      
Free                0x003A495C      
Resched             0x00374000      
:EOS:
