0x26160696
0xffffffff
0x0     0x006D3AC8
0x1     0x006D2A34
0x3     0x006CD980
0x6     0x00344000
0x7     0x0100AE1C
0x8     0x003A4CEC
0x9     0x003A595C
0xa     0x0100B6B8
0xf     0x00EF419C
0x15    0x003856D0
0x17    0x00384508
0x19    0x00393850
0x20    0x0035EFAC
0x21    0x00375328
0x22    0x03300874
0x23    0x00061C00
0x24    0x00083620
0x25    0x48061C03
0x26    0x03300850
0x28    0x03547FB0
0x29    0x00D038CC
0x2f    0x039C5194
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B36C0
0x3c    0x003B3A64
0x3d    0x003B2F50
0x3e    0x003B3D6C
0x3f    0x00D06A64
:EOS:
ArpTableAddrPtr      0x039D97B0
ConfigAddr           0x039DEF90
PingPtr              0x03426BE8
SafeSpace            0x0313A000
ImgCkSum             0x67B2E696
CodeCkSum            0xB35A373A
SystemCkSum          0x2AB573BF
TimeTablePtr         0x03A1ACE4
LogTablePtr          0x039E15DC
LogOptsPtr           0x039E19F0
CritTablePtr         0x039E19EC
MixedConfig          0x00A34FD0
SerialStrPtr         0x03A17D90
NewPassiveHookFunc   0x003987B4
NewPassiveHookLoc    0x00A3FF0C
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04A0F244
flashSemUseOffset    0x00000018
Printf               0x0100B6B8
Socket               0x006DB308
Bind                 0x006DC0E0
Connect              0x006DE1E0
Send                 0x006DEA20
Recv                 0x006DF054
Close                0x006DF56C
Malloc               0x003A4CEC
Free                 0x003A595C
Resched              0x00375000
:EOS:

