0x26160330
0xffffffff
0x0     0x006D7D34
0x1     0x006D6CA0
0x3     0x006D1BEC
0x6     0x00344000
0x7     0x01015B74
0x8     0x003A6734
0x9     0x003A73A4
0xa     0x01016444
0xf     0x00EFE5E0
0x15    0x003866B0
0x17    0x003854E8
0x19    0x00395298
0x20    0x0035FCB8
0x21    0x00376328
0x22    0x03300874
0x23    0x00061C00
0x24    0x00083620
0x25    0x48061C03
0x26    0x03300850
0x28    0x0354B2B8
0x29    0x00D0D7DC
0x2f    0x039E53B4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B5108
0x3c    0x003B54AC
0x3d    0x003B4998
0x3e    0x003B57B4
0x3f    0x00D10974
:EOS:
ArpTableAddrPtr      0x039F99CC
ConfigAddr           0x039FF1AC
PingPtr              0x03426BE8
SafeSpace            0x0313D000
ImgCkSum             0x71997330
CodeCkSum            0x0E773AE7
SystemCkSum          0x100FE83F
TimeTablePtr         0x03A3AF04
LogTablePtr          0x03A017F4
LogOptsPtr           0x03A01C08
CritTablePtr         0x03A01C04
MixedConfig          0x00A3C500
SerialStrPtr         0x03A37FB0
NewPassiveHookFunc   0x0039A1FC
NewPassiveHookLoc    0x00A475B0
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04A2F4A4
flashSemUseOffset    0x00000018
Printf               0x01016444
Socket               0x006DF584
Bind                 0x006E035C
Connect              0x006E245C
Send                 0x006E2C9C
Recv                 0x006E32D0
Close                0x006E37E8
Malloc               0x003A6734
Free                 0x003A73A4
Resched              0x00376000
:EOS:

