0x26160D13
0xffffffff
0x0     0x006D91DC
0x1     0x006D8148
0x3     0x006D3080
0x6     0x00344000
0x7     0x01018540
0x8     0x003A6808
0x9     0x003A7478
0xa     0x01018E10
0xf     0x00F00E80
0x15    0x003866F0
0x17    0x00385528
0x19    0x0039536C
0x20    0x0035FCD4
0x21    0x00376328
0x22    0x03300874
0x23    0x00061C00
0x24    0x00083620
0x25    0x48061C03
0x26    0x03300850
0x28    0x0354B4DC
0x29    0x00D0FC34
0x2f    0x039E54B4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B51DC
0x3c    0x003B5580
0x3d    0x003B4A6C
0x3e    0x003B5888
0x3f    0x00D12DCC
0x40    0x03A055F0
0x41    0xFFFFFEC8
0x42    0x00348B30
:EOS:
ArpTableAddrPtr      0x039F9AD8
ConfigAddr           0x039FF2B8
PingPtr              0x03426BE8
SafeSpace            0x03140000
ImgCkSum             0x79A67D13
CodeCkSum            0x7324A118
SystemCkSum          0xEA582F3E
TimeTablePtr         0x03A3B01C
LogTablePtr          0x03A01904
LogOptsPtr           0x03A01D18
CritTablePtr         0x03A01D14
MixedConfig          0x00A3E168
SerialStrPtr         0x03A380C8
NewPassiveHookFunc   0x0039A2D0
NewPassiveHookLoc    0x00A49318
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04B54644
flashSemUseOffset    0x00000018
Printf               0x01018E10
Socket               0x006E09F0
Bind                 0x006E17C8
Connect              0x006E38C8
Send                 0x006E4108
Recv                 0x006E473C
Close                0x006E4C5C
Malloc               0x003A6808
Free                 0x003A7478
Resched              0x00376000
:EOS:
