0x261608a3            
0xffffffff            
0x0   0x006CDBC0      
0x1   0x006CCB2C      
0x3   0x006C7A78      
0x6   0x00344000      
0x7   0x00FE0C94      
0x8   0x003A2B58      
0x9   0x003A37C8      
0xa   0x00FE1530      
0xf   0x00ECA2EC      
0x15  0x0038353C      
0x17  0x00382374      
0x19  0x003916BC      
0x20  0x0035DAB8      
0x21  0x00373328      
0x22  0x02C00850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x02c00874      
0x28  0x02E48134      
0x29  0x00CEE7E0      
0x2f  0x032C3E94      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02B48034      
0x3b  0x003B152C      
0x3c  0x003B18D0      
0x3d  0x003B0DBC      
0x3e  0x003B1BD8      
:EOS:
ArpTableAddrPtr     0x032D84AC      
ConfigAddr          0x032DDC8C      
PingPtr             0x02D26B88      
SafeSpace           0x02A8A000      
ImgCkSum            0xc2f718a3      
CodeCkSum           0x8f9e164f      
TimeTablePtr        0x03319798
LogOptsPtr          0x032e06ec
CritTablePtr        0x032e06e8
LogTablePtr         0x032e02d8
Printf              0x00FE1530      
Socket              0x006D53BC      
Bind                0x006D6194      
Connect             0x006D8294      
Send                0x006D8AD4      
Recv                0x006D9108      
Close               0x006D9620      
Malloc              0x003A2B58      
Free                0x003A37C8      
Resched             0x00373000      
:EOS:
