0x26160b7a            
0xffffffff            
0x0   0x006D0B8C      
0x1   0x006CFAF8      
0x3   0x006CAA44      
0x6   0x00344000      
0x7   0x00FE7710      
0x8   0x003A2B58      
0x9   0x003A37C8      
0xa   0x00FE7FAC      
0xf   0x00ED0D8C      
0x15  0x0038353C      
0x17  0x00382374      
0x19  0x003916BC      
0x20  0x0035DAEC      
0x21  0x00373328      
0x22  0x02C00850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x02c00874      
0x28  0x02E47C50      
0x29  0x00CF4530      
0x2f  0x032C4174      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02B48034      
0x3b  0x003B152C      
0x3c  0x003B18D0      
0x3d  0x003B0DBC      
0x3e  0x003B1BD8      
:EOS:
ArpTableAddrPtr     0x032D8790      
ConfigAddr          0x032DDF70      
PingPtr             0x02D26BE8      
SafeSpace           0x02A8C000      
ImgCkSum            0x657f3b7a      
CodeCkSum           0x8e8039da      
TimeTablePtr        0x03319a7c
LogOptsPtr          0x032e09d0
CritTablePtr        0x032e09cc
LogTablePtr         0x032e05bc
Printf              0x00FE7FAC      
Socket              0x006D83CC      
Bind                0x006D91A4      
Connect             0x006DB2A4      
Send                0x006DBAE4      
Recv                0x006DC118      
Close               0x006DC630      
Malloc              0x003A2B58      
Free                0x003A37C8      
Resched             0x00373000      
:EOS:
