0x261603b6            
0xffffffff            
0x0   0x0070CA1C      
0x1   0x0070B950      
0x3   0x00705794      
0x6   0x00346000      
0x7   0x010EEB20      
0x8   0x003A6AB4      
0x9   0x003A7868      
0xa   0x010EF41C      
0xf   0x00FAB11C      
0x15  0x00385E10      
0x17  0x00384C48      
0x19  0x00394E88      
0x20  0x00361674      
0x21  0x0037535C      
0x22  0x033008E8      
0x23  0x00061c00      
0x24  0x00083614      
0x25  0x48061c03      
0x26  0x0330090C      
0x28  0x03560514      
0x29  0x00DA3318      
0x2f  0x03A0519C      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x03248034      
0x3b  0x003B64DC      
0x3c  0x003B6880      
0x3d  0x003B5D6C      
0x3e  0x003B6B88      
:EOS:
ArpTableAddrPtr     0x03A1AA28      
ConfigAddr          0x03A20374      
PingPtr             0x03427FD8      
SafeSpace           0x031A9000      
ImgCkSum            0xa9c6c3b6      
CodeCkSum           0xe88b7d95      
TimeTablePtr        0x03a5ea50
CritTablePtr        0x03a22df0
LogOptsPtr          0x03a22df4
LogTablePtr         0x03a229dc
Printf              0x010EF41C      
Socket              0x007143B0      
Bind                0x00715188      
Connect             0x00717348      
Send                0x00717B88      
Recv                0x007181BC      
Close               0x007186DC      
Malloc              0x003A6AB4      
Free                0x003A7868      
Resched             0x00375000      
:EOS:
