0x2616040C                  
0xffffffff                  
0x0     0x00716A08          
0x1     0x0071593C          
0x3     0x0070F778          
0x6     0x00346000          
0x7     0x0110B710          
0x8     0x003A7CA8          
0x9     0x003A8A5C          
0xa     0x0110C00C          
0xf     0x00FC6B14          
0x15    0x00386E70          
0x17    0x00385CA8          
0x19    0x00396050          
0x20    0x003620A0          
0x21    0x0037635C          
0x22    0x03300914          
0x23    0x00061c00          
0x24    0x00083614          
0x25    0x48061c03          
0x26    0x033008F0          
0x28    0x03561AB0          
0x29    0x00DBD938          
0x2f    0x03A055FC          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x03248034          
0x3b    0x003B7738          
0x3c    0x003B7ADC          
0x3d    0x003B6FC8          
0x3e    0x003B7DE4          
0x3f    0x00DC0AEC          
:EOS:
ArpTableAddrPtr      0x03A1BE98             
ConfigAddr           0x03A217E4             
PingPtr              0x034280A4             
SafeSpace            0x031b3000             
ImgCkSum             0x4DAD840C             
CodeCkSum            0x40660F74             
TimeTablePtr         0x03A5FF7C             
LogTablePtr          0x03A23E6C             
LogOptsPtr           0x03A24284             
CritTablePtr         0x03A24280             
flashSemAddr         0x04B79F04
flashSemUseOffset    0x00000018
Printf               0x0110C00C             
Socket               0x0071E394             
Bind                 0x0071F16C             
Connect              0x0072132C             
Send                 0x00721B6C             
Recv                 0x007221A8             
Close                0x007226C8             
Malloc               0x003A7CA8             
Free                 0x003A8A5C             
Resched              0x00376000             
:EOS:

