0x26160BC3
0xffffffff
0x0     0x00717A68
0x1     0x0071699C
0x3     0x007107D8
0x6     0x00346000
0x7     0x01110C94
0x8     0x003A6C94
0x9     0x003A7A48
0xa     0x01111590
0xf     0x00FCBE54
0x15    0x00385E5C
0x17    0x00384C94
0x19    0x0039503C
0x20    0x00360E1C
0x21    0x0037535C
0x22    0x03300914
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F0
0x27    0x03A289DC
0x28    0x03561CCC
0x29    0x00DC204C
0x2f    0x03A057FC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B6724
0x3c    0x003B6AC8
0x3d    0x003B5FB4
0x3e    0x003B6DD0
0x3f    0x00DC5200
:EOS:
ArpTableAddrPtr      0x03A1C098
ConfigAddr           0x03A219E4
PingPtr              0x034280A4
SafeSpace            0x031B8000
ImgCkSum             0x61CAFBC3
CodeCkSum            0xE09E2FB4
SystemCkSum          0x466D6C16
TimeTablePtr         0x03A60184
LogTablePtr          0x03A2406C
LogOptsPtr           0x03A24484
CritTablePtr         0x03A24480
MixedConfig          0x00AC1F94
Printf               0x01111590
Socket               0x0071F3F4
Bind                 0x007201CC
Connect              0x00722390
Send                 0x00722BD0
Recv                 0x0072320C
Close                0x0072372C
Malloc               0x003A6C94
Free                 0x003A7A48
Resched              0x00375000
:EOS:
