0x26160667
0xffffffff
0x0     0x007180A0
0x1     0x00716FD4
0x3     0x00710DDC
0x6     0x00346000
0x7     0x01115E50
0x8     0x003A6C94
0x9     0x003A7A48
0xa     0x0111674C
0xf     0x00FD0F64
0x15    0x00385E5C
0x17    0x00384C94
0x19    0x0039503C
0x20    0x00360E6C
0x21    0x0037535C
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x27    0x03A28AFC
0x28    0x03561E58
0x29    0x00DC68E4
0x2f    0x03A0591C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B6724
0x3c    0x003B6AC8
0x3d    0x003B5FB4
0x3e    0x003B6DD0
0x3f    0x00DC9A98
:EOS:
ArpTableAddrPtr      0x03A1C1B8
ConfigAddr           0x03A21B04
PingPtr              0x034280A4
SafeSpace            0x031C0000
ImgCkSum             0xC765F667
CodeCkSum            0xEA114717
SystemCkSum          0x373B3989
TimeTablePtr         0x03A602A8
LogTablePtr          0x03A2418C
LogOptsPtr           0x03A245A4
CritTablePtr         0x03A245A0
MixedConfig          0x00AC37D8
Printf               0x0111674C
Socket               0x0071FA2C
Bind                 0x00720804
Connect              0x007229C8
Send                 0x00723210
Recv                 0x0072384C
Close                0x00723D6C
Malloc               0x003A6C94
Free                 0x003A7A48
Resched              0x00375000
:EOS:
