0x261606EE
0xffffffff
0x0     0x0071801C
0x1     0x00716F50
0x3     0x00710D58
0x6     0x00346000
0x7     0x011181E8
0x8     0x003A6C94
0x9     0x003A7A48
0xa     0x01118AE4
0xf     0x00FD3150
0x15    0x00385E5C
0x17    0x00384C94
0x19    0x0039503C
0x20    0x00360E6C
0x21    0x0037535C
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x27    0x03A28B7C
0x28    0x03561E7C
0x29    0x00DC8A58
0x2f    0x03A0599C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B6724
0x3c    0x003B6AC8
0x3d    0x003B5FB4
0x3e    0x003B6DD0
0x3f    0x00DCBC0C
:EOS:
ArpTableAddrPtr      0x03A1C238
ConfigAddr           0x03A21B84
PingPtr              0x034280A8
SafeSpace            0x031C0000
ImgCkSum             0x527826EE
CodeCkSum            0xD7D134CB
SystemCkSum          0xBB8F635E
TimeTablePtr         0x03A60328
LogTablePtr          0x03A2420C
LogOptsPtr           0x03A24624
CritTablePtr         0x03A24620
MixedConfig          0x00AC52C4
Printf               0x01118AE4
Socket               0x0071F9A8
Bind                 0x00720780
Connect              0x00722944
Send                 0x0072318C
Recv                 0x007237C8
Close                0x00723CE8
Malloc               0x003A6C94
Free                 0x003A7A48
Resched              0x00375000
:EOS:
