0x26160350
0xffffffff
0x0     0x0071AA9C
0x1     0x007199D0
0x3     0x007137AC
0x6     0x00346000
0x7     0x01121D3C
0x8     0x003A7E24
0x9     0x003A8BD8
0xa     0x01122638
0xf     0x00FDC058
0x15    0x00386FEC
0x17    0x00385E24
0x19    0x003961CC
0x20    0x00361258
0x21    0x0037635C
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x28    0x03561F24
0x29    0x00DD15FC
0x2f    0x03A059DC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B78B4
0x3c    0x003B7C58
0x3d    0x003B7144
0x3e    0x003B7F60
0x3f    0x00DD47B0
0x40    0x03A28BBC
0x41    0xFFFFFEC0
0x42    0x0034B13C
:EOS:
ArpTableAddrPtr      0x03A1C278
ConfigAddr           0x03A21BC4
PingPtr              0x034280A8
SafeSpace            0x031C9000
ImgCkSum             0xDEC10350
CodeCkSum            0x80166912
SystemCkSum          0x4FD207F4
TimeTablePtr         0x03A62378
LogTablePtr          0x03A2424C
LogOptsPtr           0x03A24664
CritTablePtr         0x03A24660
MixedConfig          0x00ACAB50
SerialStrPtr         0x03A5E71C
NewPassiveHookFunc   0x0039B338
NewPassiveHookLoc    0x00AD60CC
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04B7C744
flashSemUseOffset    0x00000018
Printf               0x01122638
Socket               0x00722464
Bind                 0x0072323C
Connect              0x00725400
Send                 0x00725C48
Recv                 0x00726284
Close                0x007267A4
Malloc               0x003A7E24
Free                 0x003A8BD8
Resched              0x00376000
:EOS:

