0x26160188            
0xffffffff            
0x0   0x0070B888      
0x1   0x0070A7BC      
0x3   0x00704600      
0x6   0x00346000      
0x7   0x010C698C      
0x8   0x003A5920      
0x9   0x003A66D4      
0xa   0x010C7288      
0xf   0x00F82E80      
0x15  0x00384C7C      
0x17  0x00383AB4      
0x19  0x00393CF4      
0x20  0x00361674      
0x21  0x0037435C      
0x22  0x02C008E8     
0x23  0x00061c00      
0x24  0x00083614      
0x25  0x48061c03      
0x26  0x02C0090C      
0x28  0x02E60334      
0x29  0x00D95B50      
0x2f  0x033040BC      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02B48034      
0x3b  0x003B5348      
0x3c  0x003B56EC      
0x3d  0x003B4BD8      
0x3e  0x003B59F4      
:EOS:
ArpTableAddrPtr     0x03319948      
ConfigAddr          0x0331F294      
PingPtr             0x02D27FD8      
SafeSpace           0x02AEC000      
ImgCkSum            0x49688188      
CodeCkSum           0x32ffde44      
TimeTablePtr        0x0335d908
CritTablePtr        0x03321d10
LogOptsPtr          0x03321d14
LogTablePtr         0x033218fc
Printf              0x010C7288      
Socket              0x0071321C      
Bind                0x00713FF4      
Connect             0x007161B4      
Send                0x007169F4      
Recv                0x00717028      
Close               0x00717548      
Malloc              0x003A5920      
Free                0x003A66D4      
Resched             0x00374000      
:EOS:
