0x26160F58
0xffffffff
0x0     0x007197F8
0x1     0x0071872C
0x3     0x0071251C
0x6     0x00346000
0x7     0x010F3F98
0x8     0x003A6C40
0x9     0x003A79F4
0xa     0x010F4894
0xf     0x00FAE8A0
0x15    0x00385CD0
0x17    0x00384B08
0x19    0x00394FE8
0x20    0x003615B8
0x21    0x0037535C
0x22    0x02C00918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02C008F4
0x27    0x033279FC
0x28    0x02E61CE8
0x29    0x00DBF0D8
0x2f    0x0330481C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003B66D0
0x3c    0x003B6A74
0x3d    0x003B5F60
0x3e    0x003B6D7C
0x3f    0x00DC228C
:EOS:
ArpTableAddrPtr      0x0331B0B8
ConfigAddr           0x03320A04
PingPtr              0x02D280A8
SafeSpace            0x02AF4000
ImgCkSum             0x43909F58
CodeCkSum            0x01F7EF5B
SystemCkSum          0x24E41E00
TimeTablePtr         0x03361150
LogTablePtr          0x0332308C
LogOptsPtr           0x033234A4
CritTablePtr         0x033234A0
MixedConfig          0x00ABEDA0
Printf               0x010F4894
Socket               0x007211BC
Bind                 0x00721F94
Connect              0x00724158
Send                 0x007249A0
Recv                 0x00724FDC
Close                0x007254FC
Malloc               0x003A6C40
Free                 0x003A79F4
Resched              0x00375000
:EOS:
