0x261602A3
0xffffffff
0x0     0x00716F0C
0x1     0x00715E40
0x3     0x0070FC48
0x6     0x00346000
0x7     0x010EAEAC
0x8     0x003A5B00
0x9     0x003A68B4
0xa     0x010EB7A8
0xf     0x00FA5E68
0x15    0x00384CC8
0x17    0x00383B00
0x19    0x00393EA8
0x20    0x00360E6C
0x21    0x0037435C
0x22    0x02C00918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02C008F4
0x27    0x0332797C
0x28    0x02E61C5C
0x29    0x00DB6AA0
0x2f    0x0330479C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003B5590
0x3c    0x003B5934
0x3d    0x003B4E20
0x3e    0x003B5C3C
0x3f    0x00DB9C54
:EOS:
ArpTableAddrPtr      0x0331B038
ConfigAddr           0x03320984
PingPtr              0x02D280A4
SafeSpace            0x02AF4000
ImgCkSum             0x246242A3
CodeCkSum            0x087F07BA
SystemCkSum          0xAFEEF01D
TimeTablePtr         0x0335F0C0
LogTablePtr          0x0332300C
LogOptsPtr           0x03323424
CritTablePtr         0x03323420
MixedConfig          0x00AB8B70
Printf               0x010EB7A8
Socket               0x0071E898
Bind                 0x0071F670
Connect              0x00721834
Send                 0x0072207C
Recv                 0x007226B8
Close                0x00722BD8
Malloc               0x003A5B00
Free                 0x003A68B4
Resched              0x00374000
:EOS:
