0x26160E0D
0xffffffff
0x0     0x00716E88
0x1     0x00715DBC
0x3     0x0070FBC4
0x6     0x00346000
0x7     0x010ED244
0x8     0x003A5B00
0x9     0x003A68B4
0xa     0x010EDB40
0xf     0x00FA8054
0x15    0x00384CC8
0x17    0x00383B00
0x19    0x00393EA8
0x20    0x00360E6C
0x21    0x0037435C
0x22    0x02C00918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02C008F4
0x27    0x033279FC
0x28    0x02E61C80
0x29    0x00DB8C14
0x2f    0x0330481C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003B5590
0x3c    0x003B5934
0x3d    0x003B4E20
0x3e    0x003B5C3C
0x3f    0x00DBBDC8
:EOS:
ArpTableAddrPtr      0x0331B0B8
ConfigAddr           0x03320A04
PingPtr              0x02D280A8
SafeSpace            0x02AF4000
ImgCkSum             0x838D5E0D
CodeCkSum            0x682FA459
SystemCkSum          0x7C33A252
TimeTablePtr         0x0335F140
LogTablePtr          0x0332308C
LogOptsPtr           0x033234A4
CritTablePtr         0x033234A0
MixedConfig          0x00ABA65C
Printf               0x010EDB40
Socket               0x0071E814
Bind                 0x0071F5EC
Connect              0x007217B0
Send                 0x00721FF8
Recv                 0x00722634
Close                0x00722B54
Malloc               0x003A5B00
Free                 0x003A68B4
Resched              0x00374000
:EOS:
