0x26160AAF                  
0xffffffff                  
0x0     0x0074F238          
0x1     0x0074E16C          
0x3     0x00747D64          
0x6     0x00346000          
0x7     0x011E61F4          
0x8     0x003AE31C          
0x9     0x003AF0D0          
0xa     0x011E6AF0          
0xf     0x0109B35C          
0x15    0x0038CB88          
0x17    0x0038B9C0          
0x19    0x0039C4EC          
0x20    0x00361B8C          
0x21    0x0037835C          
0x22    0x03400924          
0x23    0x00061c00          
0x24    0x00083614          
0x25    0x48061c03          
0x26    0x03400900          
0x28    0x0366F3BC          
0x29    0x00E8A9E8          
0x2f    0x03921F6C          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x03348034          
0x3b    0x003BDF1C          
0x3c    0x003BE2C0          
0x3d    0x003BD7AC          
0x3e    0x003BE5C8          
0x3f    0x00E8DB9C          
:EOS:
ArpTableAddrPtr      0x0394AAFC             
ConfigAddr           0x039571C0             
PingPtr              0x03529BF0             
SafeSpace            0x032c9000             
ImgCkSum             0x97C49AAF             
CodeCkSum            0x99A3C268             
TimeTablePtr         0x039E4DA4             
LogTablePtr          0x03961210             
LogOptsPtr           0x0395FD50             
CritTablePtr         0x03961220             
flashSemAddr         0x03CF0F70
flashSemUseOffset    0x00000018
Printf               0x011E6AF0             
Socket               0x00756D08             
Bind                 0x00757AE0             
Connect              0x00759CB0             
Send                 0x0075A54C             
Recv                 0x0075ABDC             
Close                0x0075B0FC             
Malloc               0x003AE31C             
Free                 0x003AF0D0             
Resched              0x00378000             
:EOS:

