0x26160EA2
0xffffffff
0x0     0x00750434
0x1     0x0074F368
0x3     0x00748F2C
0x6     0x00346000
0x7     0x011F5850
0x8     0x003AE31C
0x9     0x003AF0D0
0xa     0x011F614C
0xf     0x010A8D6C
0x15    0x0038CB88
0x17    0x0038B9C0
0x19    0x0039C4EC
0x20    0x00361D2C
0x21    0x0037835C
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366FA2C
0x29    0x00E97A48
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003BDF1C
0x3c    0x003BE2C0
0x3d    0x003BD7AC
0x3e    0x003BE5C8
0x3f    0x00E9ABFC
0x40    0x03966AA8
0x41    0xFFFFFE74
0x42    0x0034B4E0
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032DD000
ImgCkSum             0x1066DEA2
CodeCkSum            0x72CBBF50
SystemCkSum          0xA5640CC5
TimeTablePtr         0x039E6EBC
LogTablePtr          0x03961290
LogOptsPtr           0x0395FDD0
CritTablePtr         0x039612A0
MixedConfig          0x00B6A3F8
SerialStrPtr         0x039E2560
NewPassiveHookFunc   0x003A1658
NewPassiveHookLoc    0x00B777E8
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF323C
flashSemUseOffset    0x00000018
Printf               0x011F614C
Socket               0x00757F04
Bind                 0x00758CDC
Connect              0x0075AEAC
Send                 0x0075B750
Recv                 0x0075BDE0
Close                0x0075C300
Malloc               0x003AE31C
Free                 0x003AF0D0
Resched              0x00378000
:EOS:

