0x2616068B
0xffffffff
0x0     0x00751A30
0x1     0x00750964
0x3     0x0074A510
0x6     0x00346000
0x7     0x011F80C4
0x8     0x003AE45C
0x9     0x003AF210
0xa     0x011F89C0
0xf     0x010AB3D0
0x15    0x0038CB90
0x17    0x0038B9C8
0x19    0x0039C62C
0x20    0x00362470
0x21    0x0037835C
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366FACC
0x29    0x00E99F90
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003BE05C
0x3c    0x003BE400
0x3d    0x003BD8EC
0x3e    0x003BE708
0x3f    0x00E9D144
0x40    0x03966AA8
0x41    0xFFFFFE68
0x42    0x0034B540
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C24
SafeSpace            0x032E0000
ImgCkSum             0x215BD68B
CodeCkSum            0x680B8907
SystemCkSum          0xE65DE970
TimeTablePtr         0x039E6EBC
LogTablePtr          0x03961290
LogOptsPtr           0x0395FDD0
CritTablePtr         0x039612A0
MixedConfig          0x00B6C098
SerialStrPtr         0x039E2560
NewPassiveHookFunc   0x003A1798
NewPassiveHookLoc    0x00B79498
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF323C
flashSemUseOffset    0x00000018
Printf               0x011F89C0
Socket               0x00759500
Bind                 0x0075A2D8
Connect              0x0075C4BC
Send                 0x0075CD60
Recv                 0x0075D3F0
Close                0x0075D910
Malloc               0x003AE45C
Free                 0x003AF210
Resched              0x00378000
:EOS:

