0x26160DBF
0xffffffff
0x0     0x00754358
0x1     0x0075328C
0x3     0x0074CE20
0x6     0x00346000
0x7     0x011F7D78
0x8     0x003AE378
0x9     0x003AF12C
0xa     0x011F868C
0xf     0x010AA3AC
0x15    0x0038CB70
0x17    0x0038B9A8
0x19    0x0039C574
0x20    0x00362734
0x21    0x0037835C
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x03670000
0x29    0x00E9A7F4
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003BDF18
0x3c    0x003BE2BC
0x3d    0x003BD7A8
0x3e    0x003BE5B8
0x3f    0x00E9D9A8
0x40    0x03966B68
0x41    0xFFFFFE68
0x42    0x0034AEC8
:EOS:
ArpTableAddrPtr      0x0394AC60
ConfigAddr           0x03957324
PingPtr              0x0352A098
SafeSpace            0x032E9000
ImgCkSum             0x2B91FDBF
CodeCkSum            0xC5138C55
SystemCkSum          0x66CABB60
TimeTablePtr         0x039E6F7C
LogTablePtr          0x03961348
LogOptsPtr           0x0395FE88
CritTablePtr         0x03961358
MixedConfig          0x00B6C51C
SerialStrPtr         0x039E2620
NewPassiveHookFunc   0x003A16E0
NewPassiveHookLoc    0x00B798F4
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF32FC
flashSemUseOffset    0x00000018
Printf               0x011F868C
Socket               0x0075BE28
Bind                 0x0075CC00
Connect              0x0075EDE4
Send                 0x0075F688
Recv                 0x0075FD04
Close                0x00760224
Malloc               0x003AE378
Free                 0x003AF12C
Resched              0x00378000
:EOS:

