0x26160F7D                  
0xffffffff                  
0x0     0x0074C604          
0x1     0x0074B538          
0x3     0x00745130          
0x6     0x00346000          
0x7     0x011B3C20          
0x8     0x003AD19C          
0x9     0x003ADF50          
0xa     0x011B451C          
0xf     0x01068EA0          
0x15    0x0038BA08          
0x17    0x0038A840          
0x19    0x0039B36C          
0x20    0x00362978          
0x21    0x0037735C          
0x22    0x02D00924          
0x23    0x00061c00          
0x24    0x00083614          
0x25    0x48061c03          
0x26    0x02D00900          
0x28    0x02F6EAA4          
0x29    0x00E757B8          
0x2f    0x03221F6C          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x02C48034          
0x3b    0x003BCD9C          
0x3c    0x003BD140          
0x3d    0x003BC62C          
0x3e    0x003BD448          
0x3f    0x00E7896C          
:EOS:
ArpTableAddrPtr      0x0324AAFC             
ConfigAddr           0x032571C0             
PingPtr              0x02E29BEC             
SafeSpace            0x02bf6000             
ImgCkSum             0x62FD7F7D             
CodeCkSum            0xC6846CC0             
TimeTablePtr         0x032E1E28             
LogTablePtr          0x03261110             
LogOptsPtr           0x0325FD50             
CritTablePtr         0x03261120             
flashSemAddr         0x035DC3C4
flashSemUseOffset    0x00000018
Printf               0x011B451C             
Socket               0x007540D4             
Bind                 0x00754EAC             
Connect              0x00757078             
Send                 0x00757914             
Recv                 0x00757FA4             
Close                0x007584C4             
Malloc               0x003AD19C             
Free                 0x003ADF50             
Resched              0x00377000             
:EOS:

