0x26160A49
0xffffffff
0x0     0x0074F9FC
0x1     0x0074E930
0x3     0x007484C4
0x6     0x00346000
0x7     0x011C1654
0x8     0x003AD210
0x9     0x003ADFC4
0xa     0x011C1F50
0xf     0x01074500
0x15    0x0038B9DC
0x17    0x0038A814
0x19    0x0039B3E0
0x20    0x0036251C
0x21    0x0037735C
0x22    0x02D0092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02D00908
0x28    0x02F6F3C4
0x29    0x00E81DBC
0x2f    0x03221F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02C48034
0x3b    0x003BCDB0
0x3c    0x003BD154
0x3d    0x003BC640
0x3e    0x003BD450
0x3f    0x00E84F40
0x40    0x03266AA8
0x41    0xFFFFFE68
0x42    0x0034AD18
:EOS:
ArpTableAddrPtr      0x0324AB4C
ConfigAddr           0x03257210
PingPtr              0x02E29C28
SafeSpace            0x02BFB000
ImgCkSum             0xC57A6A49
CodeCkSum            0x3117EA82
SystemCkSum          0xA9DF6C23
TimeTablePtr         0x032E4048
LogTablePtr          0x03261290
LogOptsPtr           0x0325FDD0
CritTablePtr         0x032612A0
MixedConfig          0x00B5A168
SerialStrPtr         0x032DF6EC
NewPassiveHookFunc   0x003A054C
NewPassiveHookLoc    0x00B67524
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x035DE66C
flashSemUseOffset    0x00000018
Printf               0x011C1F50
Socket               0x007574CC
Bind                 0x007582A4
Connect              0x0075A488
Send                 0x0075AD2C
Recv                 0x0075B3A8
Close                0x0075B8C8
Malloc               0x003AD210
Free                 0x003ADFC4
Resched              0x00377000
:EOS:

