0x26160EFE
0xffffffff
0x0     0x007531C4
0x1     0x007520F8
0x3     0x0074BC8C
0x6     0x00346000
0x7     0x011C7EF0
0x8     0x003AD1E4
0x9     0x003ADF98
0xa     0x011C8804
0xf     0x0107A370
0x15    0x0038B9DC
0x17    0x0038A814
0x19    0x0039B3E0
0x20    0x00362734
0x21    0x0037735C
0x22    0x02D0092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x02D00908
0x28    0x02F6F8F8
0x29    0x00E875AC
0x2f    0x03221F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02C48034
0x3b    0x003BCD84
0x3c    0x003BD128
0x3d    0x003BC614
0x3e    0x003BD424
0x3f    0x00E8A760
0x40    0x03266B68
0x41    0xFFFFFE68
0x42    0x0034AEC8
:EOS:
ArpTableAddrPtr      0x0324AC60
ConfigAddr           0x03257324
PingPtr              0x02E2A098
SafeSpace            0x02BFD000
ImgCkSum             0x04CB8EFE
CodeCkSum            0x2E55C285
SystemCkSum          0x9591DD8D
TimeTablePtr         0x032E4108
LogTablePtr          0x03261348
LogOptsPtr           0x0325FE88
CritTablePtr         0x03261358
MixedConfig          0x00B5EC6C
SerialStrPtr         0x032DF7AC
NewPassiveHookFunc   0x003A054C
NewPassiveHookLoc    0x00B6C044
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x035DE72C
flashSemUseOffset    0x00000018
Printf               0x011C8804
Socket               0x0075AC94
Bind                 0x0075BA6C
Connect              0x0075DC50
Send                 0x0075E4F4
Recv                 0x0075EB70
Close                0x0075F090
Malloc               0x003AD1E4
Free                 0x003ADF98
Resched              0x00377000
:EOS:

