0x2514030D                  
0xffffffff                  
0x0     0x005E422C          
0x1     0x005E4A30          
0x3     0x005E7770          
0x6     0x00342000          
0x7     0x0036C594          
0x8     0x0039291C          
0x9     0x0039163C          
0xa     0x00D04574          
0xf     0x00C39C68          
0x15    0x00385C28          
0x17    0x00385770          
0x19    0x0037AB8C          
0x20    0x00350314          
0x21    0x0036B3BC          
0x22    0x021006EC          
0x23    0x00061c00          
0x24    0x00083644          
0x25    0x48061c03          
0x26    0x02100710          
0x28    0x0230B280          
0x29    0x00B23274          
0x2f    0x025D42A4          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000070          
0x33    0x00000000          
0x34    0x0000004c          
0x35    0x02038034          
0x3b    0x0039BA04          
0x3c    0x0039B6F4          
0x3d    0x0039BBB0          
0x3e    0x0039B408          
0x3f    0x00B267C0          
:EOS:
ArpTableAddrPtr      0x025E41F8             
ConfigAddr           0x025E662C             
PingPtr              0x02226F90             
SafeSpace            0x01fdd000             
ImgCkSum             0xB38D530D             
CodeCkSum            0x689C8849             
SystemCkSum          0x5D7A1E9E             
TimeTablePtr         0x02614180             
LogTablePtr          0x025E88E4             
LogOptsPtr           0x025E8CF8             
CritTablePtr         0x025E8CF4             
MixedConfig          0x008E6B1C             
flashSemAddr         0x0274D9BC
flashSemUseOffset    0x00000018
Printf               0x00D04574             
Socket               0x005DC420             
Bind                 0x005DBE78             
Connect              0x005D8960             
Send                 0x005D8510             
Recv                 0x005D7D9C             
Close                0x005D7AE4             
Malloc               0x0039291C             
Free                 0x0039163C             
Resched              0x0036D5AC             

:EOS

